Year,First,Last,Name,College,POS,DYAR,height,weight,hand_size,arm_length,wonderlic,forty,bench,vert,broad,shuttle,cone,sixty
2017,Mike,Williams,M.Williams,Clemson,WR,-11,75.75,218,9.38,33.38,17,,15,32.5,121,,,
2017,ArDarius,Stewart,A.Stewart,Alabama,WR,-29,71.25,204,9.38,32.5,20,4.49,,34,124,4.21,,11.23
2017,JuJu,Smith-Schuster,J.Smith-Schuster,Southern California,WR,316,73.25,215,10.5,32.88,,4.54,15,32.5,120,5.01,,
2017,Curtis,Samuel,C.Samuel,Ohio State,WR,-12,71,196,9.5,31.25,22,4.31,18,37,119,4.33,7.09,
2017,Travis,Rudolph,T.Rudolph,Florida State,WR,-49,72.25,189,9.25,31.88,,4.65,12,31.5,114,4.46,6.93,
2017,Josh,Reynolds,J.Reynolds,Texas A&M,WR,-36,74.75,194,9.38,31.5,,4.52,,37,124,4.13,6.83,11.68
2017,Josh,Malone,J.Malone,Tennessee,WR,-31,74.63,208,9.63,31.38,,4.4,10,30.5,121,4.19,7.05,11.32
2017,Cooper,Kupp,C.Kupp,Eastern Washington,WR,271,73.75,204,9.5,31.5,37,4.62,,31,116,4.08,6.75,
2017,Zay,Jones,Z.Jones,East Carolina (NC),WR,-131,73.88,201,9,32.5,,4.45,15,36.5,133,4.01,6.79,
2017,Mack,Hollins,M.Hollins,North Carolina,WR,59,75.75,221,9.75,33.25,,4.53,,,,,,
2017,Chad,Hansen,C.Hansen,California,WR,-17,73.75,202,10.13,32.13,,4.53,11,35,119,4.13,6.74,11.17
2017,Kenny,Golladay,K.Golladay,Northern Illinois,WR,129,75.75,218,9.75,32,,4.5,18,35.5,120,4.15,7,
2017,Corey,Davis,C.Davis,Western Michigan,WR,-89,74.75,209,9.13,33,31,,,,,4.28,,11.48
2017,Amara,Darboh,A.Darboh,Michigan,WR,-7,73.75,214,9.88,32.63,,4.45,17,36,124,4.26,,11.88
2017,Noah,Brown,N.Brown,Ohio State,WR,-14,74,222,9.13,31.75,,,19,,,4.33,7.07,
2017,Kendrick,Bourne,K.Bourne,Eastern Washington,WR,7,73.25,203,9.13,32.5,,4.68,9,34,125,4.21,6.73,12.21
2016,Geronimo,Allison,G.Allison,Illinois,WR,47,75.25,196,9.5,32.88,,4.67,,33,127,4.28,7.4,11.54
2016,Demarcus,Ayers,D.Ayers,Houston,WR,7,69.38,182,9.25,31.25,,4.72,,33,123,,,
2016,Tyler,Boyd,T.Boyd,Pittsburgh,WR,96,73.5,197,9.75,32,,4.58,11,34,119,4.35,6.9,
2016,Chris,Brown,C.Brown,Notre Dame,WR,-55,74,194,9,32.25,,,,,,,,
2016,Aaron,Burbridge,A.Burbridge,Michigan State,WR,-12,72,206,8.25,31.63,,4.56,20,30.5,115,4.31,7.22,11.9
2016,Corey,Coleman,C.Coleman,Baylor,WR,-57,70.63,194,9,30.25,,,17,40.5,129,,,
2016,Pharoh,Cooper,P.Cooper,South Carolina,WR,-30,71.13,203,9.13,32.25,,,15,31,115,,,
2016,Cody,Core,C.Core,Mississippi,WR,4,74.63,205,,,,4.47,14,31.5,119,,,
2016,Will,Fuller,W.Fuller,Notre Dame,WR,-15,72.13,186,8.25,30.75,,4.32,10,33.5,126,4.27,6.93,11.44
2016,Rashard,Higgins,R.Higgins,Colorado State,WR,-14,73.38,196,9.75,32.25,,4.64,13,32,116,,,
2016,Roger,Lewis,R.Lewis,Bowling Green (OH),WR,-29,72.38,201,9.75,32,,4.57,8,33.5,116,,,
2016,Ricardo,Louis,R.Louis,Auburn,WR,-82,73.75,215,9.5,32.38,,4.43,18,38,132,,,
2016,Byron,Marshall,B.Marshall,Oregon,WR,-35,69.38,201,9.5,30.25,,,17,,,,,
2016,Jalin,Marshall,J.Marshall,Ohio State,WR,20,70.5,200,9.63,31.5,,4.6,16,37.5,125,4.13,6.8,
2016,Braxton,Miller,B.Miller,Ohio State,WR,-79,73.38,201,9.13,31.75,,4.5,17,35,123,4.07,6.65,10.84
2016,Malcolm,Mitchell,M.Mitchell,Georgia,WR,132,71.63,198,10.5,32.63,,4.45,15,36,129,4.34,6.94,
2016,Chris,Moore,C.Moore,Cincinnati,WR,-68,73,206,9.38,33.38,,4.53,10,37,130,4.2,6.76,11.37
2016,Charone,Peake,C.Peake,Clemson,WR,-51,74.38,209,9.25,34,,4.45,12,35.5,122,4.46,6.96,11.69
2016,Tajae,Sharpe,T.Sharpe,Massachusetts,WR,23,74,194,8.38,32.25,,4.55,11,33.5,114,,,
2016,Sterling,Shepard,S.Shepard,Oklahoma,WR,91,70.25,194,9.75,30.38,,4.48,20,41,123,4.35,7,
2016,Michael,Thomas,M.Thomas,Ohio State,WR,431,74.75,212,10.5,32.13,,4.57,18,35,126,4.13,6.8,11.7
2015,Nelson,Agholor,N.Agholor,Southern California,WR,-31,72.13,198,9.25,32.25,,4.42,12,,,,,
2015,Da'Ron,Brown,D.Brown,Northern Illinois,WR,4,72.13,205,,,,4.54,17,37,120,4.11,7.04,
2015,Chris,Conley,C.Conley,Georgia,WR,39,73.88,213,9.88,33.75,,4.35,18,45,139,4.3,7.06,11.65
2015,Amari,Cooper,A.Cooper,Alabama,WR,122,72.88,211,10,31.5,21,4.42,,33,120,3.98,6.71,
2015,Jamison,Crowder,J.Crowder,Duke,WR,52,68.38,185,8.75,30.38,,4.56,10,37,115,4.32,7.17,
2015,Stefon,Diggs,S.Diggs,Maryland,WR,108,72,195,10,31.25,,4.46,,35,115,4.32,7.03,
2015,Phillip,Dorsett,P.Dorsett,Miami (FL),WR,-59,69.75,185,9.38,30.25,,4.33,13,37,122,4.11,6.7,
2015,Devin,Funchess,D.Funchess,Michigan,WR,9,76.25,232,9.75,33.5,,4.7,17,38.5,122,,,
2015,Dorial,Green-Beckham,D.Green-Beckham,Missouri,WR,77,77.13,237,9,32.5,20,4.49,13,33.5,119,4.45,6.89,11.89
2015,Rashad,Greene,R.Greene,Florida State,WR,-61,71.38,182,9,31.63,24,4.53,,36.5,122,4.12,6.88,
