Player,Team,DYAR,Year
A.Brown,PIT,429,2017
M.Jones,DET,394,2017
K.Allen,LACH,377,2017
D.Hopkins,HOU,366,2017
M.Thomas,NO,330,2017
J.Smith-Schuster,PIT,316,2017
J.Jones,ATL,313,2017
T.Hill,KC,301,2017
S.Diggs,MIN,294,2017
C.Kupp,LARM,271,2017
A.Thielen,MIN,261,2017
T.Ginn,NO,259,2017
B.Cooks,NE,258,2017
S.Watkins,LARM,216,2017
D.Adams,GB,214,2017
D.Baldwin,SEA,213,2017
G.Tate,DET,202,2017
M.Sanu,ATL,179,2017
R.Matthews,TEN,172,2017
R.Woods,LARM,171,2017
A.Wilson,KC,167,2017
D.Funchess,CAR,167,2017
P.Richardson,SEA,161,2017
M.Goodwin,SF,154,2017
T.Williams,LACH,149,2017
A.Hurns,JAC,149,2017
M.Evans,TB,149,2017
L.Fitzgerald,ARI,146,2017
J.Kearse,NYJ,146,2017
R.Grant,WAS,145,2017
D.Thomas,DEN,145,2017
N.Agholor,PHI,140,2017
C.Godwin,TB,138,2017
D.Amendola,NE,138,2017
W.Fuller,HOU,126,2017
K.Benjamin,2TM,124,2017
R.Anderson,NYJ,120,2017
M.Lee,JAC,119,2017
S.Shepard,NYG,118,2017
M.Bryant,PIT,118,2017
Tr.Taylor,SF,113,2017
A.Humphries,TB,111,2017
A.Jeffery,PHI,107,2017
K.Stills,MIA,106,2017
D.Jackson,TB,104,2017
J.Landry,MIA,97,2017
M.Wallace,BAL,95,2017
T.Y.Hilton,IND,74,2017
T.J.Jones,DET,73,2017
E.Decker,TEN,72,2017
A.J.Green,CIN,72,2017
C.Hogan,NE,70,2017
J.Crowder,WAS,70,2017
T.Williams,DAL,67,2017
D.Thompson,2TM,63,2017
T.Benjamin,LACH,62,2017
R.Cobb,GB,60,2017
J.Nelson,GB,57,2017
K.Wright,CHI,51,2017
M.Crabtree,OAK,51,2017
T.Lockett,SEA,48,2017
J.J.Nelson,ARI,47,2017
P.Garcon,SF,45,2017
J.Doctson,WAS,36,2017
A.Cooper,OAK,35,2017
K.Cole,JAC,34,2017
S.Roberts,OAK,34,2017
T.Gabriel,ATL,18,2017
D.Parker,MIA,12,2017
B.Fowler,DEN,12,2017
Ja.Brown,ARI,5,2017
D.Bryant,DAL,-10,2017
T.Smith,PHI,-19,2017
C.Beasley,DAL,-22,2017
B.LaFell,CIN,-31,2017
D.Westbrook,JAC,-36,2017
R.Lewis,NYG,-36,2017
J.Maclin,BAL,-37,2017
E.Sanders,DEN,-40,2017
C.Coleman,CLE,-41,2017
R.Higgins,CLE,-41,2017
R.Louis,CLE,-50,2017
Jo.Brown,ARI,-52,2017
B.Ellington,HOU,-53,2017
C.Davis,TEN,-89,2017
Z.Jones,BUF,-131,2017
B.Butler,DAL,134,2017
K.Golladay,DET,129,2017
D.Moncrief,IND,93,2017
C.Latimer,DEN,87,2017
J.Wright,MIN,84,2017
T.Boyd,CIN,76,2017
J.Kerley,NYJ,64,2017
J.Grant,MIA,60,2017
M.Hollins,PHI,59,2017
